Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),
2022,DBQ,Dubuque Regional,Dubuque,IA,392.47,
2022,CMX,Houghton County Memorial,Hancock/Houghton,MI,414.42,
2022,RKS,Southwest Wyoming Regional,Rock Springs,WY,539.28,
2022,PIH,Pocatello Regional,Pocatello,ID,415.19,
2022,BRD,Brainerd Lakes Regional,Brainerd,MN,480.99,
2022,RIW,Central Wyoming Regional,Riverton/Lander,WY,379.89,
2022,BTM,Bert Mooney,Butte,MT,413.48,
2022,ESC,Delta County,Escanaba,MI,386.69,
2022,SMX,Santa Maria Public/Capt. G. Allan Hancock Field,Santa Maria,CA,411.04,
2022,HIB,Range Regional,Hibbing,MN,396.73,
2022,EAR,Kearney Regional,Kearney,NE,408.00,
2022,LBF,North Platte Regional Airport Lee Bird Field,North Platte,NE,309.90,
2022,CDV,Merle K Mudhole Smith,Cordova,AK,196.04,
2022,ALO,Waterloo Regional,Waterloo,IA,376.92,
2022,VEL,Vernal Regional,Vernal,UT,440.29,
2022,EKO,Elko Regional,Elko,NV,471.28,
2022,MEI,Key Field,Meridian,MS,458.03,
2022,OTH,Southwest Oregon Regional,North Bend/Coos Bay,OR,322.16,
2022,JST,John Murtha Johnstown-Cambria County,Johnstown,PA,402.02,
2022,PIR,Pierre Regional,Pierre,SD,436.12,
2022,CYS,Cheyenne Regional/Jerry Olson Field,Cheyenne,WY,372.67,
2022,WRG,Wrangell Airport,Wrangell,AK,289.43,
2022,CDC,Cedar City Regional,Cedar City,UT,435.67,
2022,VCT,Victoria Regional,Victoria,TX,385.26,
2022,CNY,Canyonlands Regional,Moab,UT,442.00,
2022,OWB,Owensboro Daviess County Regional,Owensboro,KY,427.40,
2022,PRC,Prescott Regional Ernest A Love Field,Prescott,AZ,366.19,
2022,INL,Falls International Einarson Field,International Falls,MN,433.10,
2022,BFF,Western Neb. Regional/William B. Heilig Field,Scottsbluff,NE,394.73,
2022,SLN,Salina Regional,Salina,KS,345.02,
2022,DEC,Decatur Airport,Decatur,IL,395.95,
2022,ATY,Watertown Regional,Watertown,SD,469.19,
2022,APN,Alpena County Regional,Alpena,MI,386.33,
2022,JLN,Joplin Regional,Joplin,MO,470.91,
2022,PAH,Barkley Regional,Paducah,KY,439.35,
2022,ALS,San Luis Valley Regional/Bergman Field,Alamosa,CO,252.71,
2022,PIB,Hattiesburg-Laurel Regional,Hattiesburg/Laurel,MS,500.50,
2022,JMS,Jamestown Regional,Jamestown,ND,357.45,
2022,LBL,Liberal Mid-America Regional,Liberal,KS,128.35,
2022,WYS,Yellowstone,West Yellowstone,MT,419.22,
2022,SHD,Shenandoah Valley Regional,Staunton,VA,343.82,
2022,YAK,Yakutat Airport,Yakutat,AK,245.74,
2022,CVN,Clovis Regional,Clovis,NM,464.33,
2022,HYS,Hays Regional,Hays,KS,430.57,
2022,DVL,Devils Lake Regional,Devils Lake,ND,460.49,
2022,BKW,Raleigh County Memorial,Beckley,WV,345.71,
2022,DDC,Dodge City Regional,Dodge City,KS,395.52,
2022,OGS,Ogdensburg International,Ogdensburg,NY,333.90,
2022,MWA,Veterans Airport of Southern Illinois,Marion/Herrin,IL,416.22,
2022,GST,Gustavus Airport,Gustavus,AK,158.43,
2022,DUT,Unalaska Airport,Unalaska,AK,472.43,
2022,LWB,Greenbrier Valley,Lewisburg,WV,246.49,
2022,IPL,Imperial County,El Centro,CA,469.99,
2022,PUB,Pueblo Memorial,Pueblo,CO,409.74,
2022,LEB,Lebanon Municipal,Lebanon-Hanover,NH,424.51,
2022,FOD,Fort Dodge Regional,Fort Dodge,IA,369.05,
